

 
Date,Batter,Tm,Opp,Pitcher,WPA,RE24,LI
1973-04-18,Ed Kirkpatrick,KCR,OAK,Catfish Hunter\batter_vs_pitcher.cgi?pitcher=hunteca01&batter=kirkped01,0.20,2.35,1.73
1973-04-18,Cookie Rojas,KCR,OAK,Catfish Hunter\batter_vs_pitcher.cgi?pitcher=hunteca01&batter=rojasco01,0.12,1.00,.77
1973-04-18,Gene Tenace,OAK,@KCR,Bruce Dal Canton\batter_vs_pitcher.cgi?pitcher=dalcabr01&batter=tenacge01,0.65,1.74,3.88
1973-04-18,Rod Carew,MIN,CAL,Nolan Ryan\batter_vs_pitcher.cgi?pitcher=ryanno01&batter=carewro01,0.15,1.62,1.42
1973-04-18,Frank Robinson,CAL,@MIN,Bert Blyleven\batter_vs_pitcher.cgi?pitcher=blylebe01&batter=robinfr02,0.25,1.00,1.85
1973-04-18,Bobby Bonds,SFG,ATL,Tom House\batter_vs_pitcher.cgi?pitcher=houseto01&batter=bondsbo01,0.42,1.00,1.76
1973-04-18,Willie Stargell,PIT,@STL,Rick Wise\batter_vs_pitcher.cgi?pitcher=wiseri01&batter=stargwi01,0.23,2.37,1.98
1973-04-19,Bobby Murcer,NYY,@BAL,Orlando Pena\batter_vs_pitcher.cgi?pitcher=penaor01&batter=murcebo01,0.14,2.62,1.05
1973-04-19,Earl Williams,BAL,NYY,Fritz Peterson\batter_vs_pitcher.cgi?pitcher=peterfr01&batter=williea02,0.03,1.00,.23
1973-04-19,Orlando Cepeda,BOS,DET,Woodie Fryman\batter_vs_pitcher.cgi?pitcher=frymawo01&batter=cepedor01,0.17,1.61,1.63
1973-04-19,Mickey Stanley,DET,@BOS,John Curtis\batter_vs_pitcher.cgi?pitcher=curtijo01&batter=stanlmi01,0.27,2.60,1.99
1973-04-19,Dwight Evans,BOS,DET,Woodie Fryman\batter_vs_pitcher.cgi?pitcher=frymawo01&batter=evansdw01,0.09,1.00,.91
1973-04-19,George Scott,MIL,@CLE,Steve Dunning\batter_vs_pitcher.cgi?pitcher=dunnist01&batter=scottge02,0.15,1.62,1.39
1973-04-19,Charlie Spikes,CLE,MIL,Jerry Bell\batter_vs_pitcher.cgi?pitcher=bellje01&batter=spikech01,0.17,1.62,1.67
1973-04-19,Darrell Porter,MIL,@CLE,Milt Wilcox\batter_vs_pitcher.cgi?pitcher=wilcomi01&batter=porteda02,0.33,2.67,2.25
1973-04-19,George Scott,MIL,@CLE,Ray Lamb\batter_vs_pitcher.cgi?pitcher=lambra01&batter=scottge02,0.20,1.00,1.73
1973-04-19,Gene Tenace,OAK,@KCR,Paul Splittorff\batter_vs_pitcher.cgi?pitcher=splitpa01&batter=tenacge01,0.12,1.74,.87
1973-04-19,Amos Otis,KCR,OAK,Paul Lindblad\batter_vs_pitcher.cgi?pitcher=lindbpa01&batter=otisam01,0.02,1.61,.14
1973-04-19,Willie Davis,LAD,SFG,Jim Willoughby\batter_vs_pitcher.cgi?pitcher=willoji01&batter=daviswi02,0.25,1.89,2.06
1973-04-19,Bobby Bonds,SFG,@LAD,Claude Osteen\batter_vs_pitcher.cgi?pitcher=osteecl01&batter=bondsbo01,0.17,1.60,1.31
1973-04-19,Willie Davis,LAD,SFG,Jim Willoughby\batter_vs_pitcher.cgi?pitcher=willoji01&batter=daviswi02,0.16,1.63,1.87
1973-04-19,Ken Singleton,MON,PHI,Dick Selma\batter_vs_pitcher.cgi?pitcher=selmadi01&batter=singlke01,0.12,2.68,.93
1973-04-19 (1),John Milner,NYM,CHC,Dave LaRoche\batter_vs_pitcher.cgi?pitcher=larocda01&batter=milnejo01,0.08,1.00,.36
1973-04-20,Gates Brown,DET,@BAL,Doyle Alexander\batter_vs_pitcher.cgi?pitcher=alexado01&batter=brownga01,0.31,2.68,1.82
1973-04-20,Henry Aaron,ATL,@CIN,Don Gullett\batter_vs_pitcher.cgi?pitcher=gulledo01&batter=aaronha01,0.12,1.79,.69
1973-04-20,Orlando Cepeda,BOS,@CLE,Gaylord Perry\batter_vs_pitcher.cgi?pitcher=perryga01&batter=cepedor01,0.11,1.00,.97
1973-04-20,Charlie Spikes,CLE,BOS,Marty Pattin\batter_vs_pitcher.cgi?pitcher=pattima01&batter=spikech01,0.18,1.00,.98
1973-04-20,Ben Oglivie,BOS,@CLE,Gaylord Perry\batter_vs_pitcher.cgi?pitcher=perryga01&batter=oglivbe01,0.12,1.00,1.43
1973-04-20,Bill Melton,CHW,@KCR,Mike Jackson\batter_vs_pitcher.cgi?pitcher=jacksmi01&batter=meltobi01,0.04,1.74,.26
1973-04-20,Joe Ferguson,LAD,SFG,Juan Marichal\batter_vs_pitcher.cgi?pitcher=maricju01&batter=fergujo01,0.12,1.00,.70
1973-04-20,Willie Davis,LAD,SFG,Juan Marichal\batter_vs_pitcher.cgi?pitcher=maricju01&batter=daviswi02,0.09,1.00,.98
1973-04-20,Willie McCovey,SFG,@LAD,George Culver\batter_vs_pitcher.cgi?pitcher=culvege01&batter=mccovwi01,0.10,1.88,.41
1973-04-20,Dave May,MIL,NYY,Mel Stottlemyre\batter_vs_pitcher.cgi?pitcher=stottme01&batter=mayda01,0.30,1.88,1.26
1973-04-20,Bob Oliver,CAL,@OAK,Ken Holtzman\batter_vs_pitcher.cgi?pitcher=holtzke01&batter=olivebo01,0.15,1.00,1.19
1973-04-20,Sal Bando,OAK,CAL,Clyde Wright\batter_vs_pitcher.cgi?pitcher=wrighcl01&batter=bandosa01,0.32,1.88,1.19
1973-04-20,Leroy Stanton,CAL,@OAK,Ken Holtzman\batter_vs_pitcher.cgi?pitcher=holtzke01&batter=stantle01,0.22,1.00,1.12
1973-04-20,Joe Rudi,OAK,CAL,Clyde Wright\batter_vs_pitcher.cgi?pitcher=wrighcl01&batter=rudijo01,0.33,1.00,1.79
1973-04-21,Earl Williams,BAL,DET,Joe Coleman\batter_vs_pitcher.cgi?pitcher=colemjo05&batter=williea02,0.14,1.00,1.36
1973-04-21,Willie Horton,DET,@BAL,Dave McNally\batter_vs_pitcher.cgi?pitcher=mcnalda01&batter=hortowi01,0.13,1.00,.45
1973-04-21,Al Oliver,PIT,@CHC,Fergie Jenkins\batter_vs_pitcher.cgi?pitcher=jenkife01&batter=oliveal01,0.17,1.74,1.15
1973-04-21,Rick Monday,CHC,PIT,Nelson Briles\batter_vs_pitcher.cgi?pitcher=brilene01&batter=mondari01,0.10,1.00,.91
1973-04-21,Rennie Stennett,PIT,@CHC,Bob Locker\batter_vs_pitcher.cgi?pitcher=lockebo02&batter=stennre01,0.02,1.00,.43
1973-04-21,Darrell Evans,ATL,@CIN,Jack Billingham\batter_vs_pitcher.cgi?pitcher=billija01&batter=evansda01,0.23,2.39,2.01
1973-04-21,Orlando Cepeda,BOS,@CLE,Dick Tidrow\batter_vs_pitcher.cgi?pitcher=tidrodi01&batter=cepedor01,0.25,2.61,1.74
1973-04-21,Rusty Torres,CLE,BOS,Lynn McGlothen\batter_vs_pitcher.cgi?pitcher=mcgloly01&batter=torreru01,0.05,1.00,.56
1973-04-21,Oscar Gamble,CLE,BOS,Lynn McGlothen\batter_vs_pitcher.cgi?pitcher=mcgloly01&batter=gamblos01,0.22,2.36,1.80
1973-04-21,Orlando Cepeda,BOS,@CLE,Mike Kilkenny\batter_vs_pitcher.cgi?pitcher=kilkemi01&batter=cepedor01,0.14,1.00,.49
1973-04-21,Rico Petrocelli,BOS,@CLE,Ed Farmer\batter_vs_pitcher.cgi?pitcher=farmeed01&batter=petrori01,0.09,1.00,.30
1973-04-21,Tommy Harper,BOS,@CLE,Ed Farmer\batter_vs_pitcher.cgi?pitcher=farmeed01&batter=harpeto01,0.01,1.08,.07
1973-04-21,Rico Carty,TEX,@MIN,Jim Kaat\batter_vs_pitcher.cgi?pitcher=kaatji01&batter=cartyri01,0.25,2.67,1.62
1973-04-21,Bobby Darwin,MIN,TEX,Pete Broberg\batter_vs_pitcher.cgi?pitcher=brobepe01&batter=darwibo01,0.16,1.62,1.50
1973-04-21,Alex Johnson,TEX,@MIN,Jim Kaat\batter_vs_pitcher.cgi?pitcher=kaatji01&batter=johnsal01,0.17,1.00,.98
1973-04-21,John Milner,NYM,MON,Joe Gilbert\batter_vs_pitcher.cgi?pitcher=gilbejo02&batter=milnejo01,0.02,1.60,.11
1973-04-22,Earl Williams,BAL,DET,Jim Perry\batter_vs_pitcher.cgi?pitcher=perryji01&batter=williea02,0.23,1.75,1.52
1973-04-22,Dave Concepcion,CIN,ATL,Ron Reed\batter_vs_pitcher.cgi?pitcher=reedro01&batter=conceda01,0.05,1.00,.36
1973-04-22,Johnny Oates,ATL,@CIN,Ross Grimsley\batter_vs_pitcher.cgi?pitcher=grimsro02&batter=oatesjo01,0.06,1.00,.59
1973-04-22,Dusty Baker,ATL,@CIN,Ross Grimsley\batter_vs_pitcher.cgi?pitcher=grimsro02&batter=bakerdu01,0.02,1.00,.22
1973-04-22,Darrell Evans,ATL,@CIN,Ross Grimsley\batter_vs_pitcher.cgi?pitcher=grimsro02&batter=evansda01,0.02,1.00,.23
1973-04-22,Joe Ferguson,LAD,SFG,Jim Barr\batter_vs_pitcher.cgi?pitcher=barrji01&batter=fergujo01,0.12,1.00,.92
1973-04-22,Garry Maddox,SFG,@LAD,Andy Messersmith\batter_vs_pitcher.cgi?pitcher=messean01&batter=maddoga01,0.36,2.69,2.20
1973-04-22,Don Money,MIL,NYY,Steve Kline\batter_vs_pitcher.cgi?pitcher=klinest01&batter=moneydo01,0.15,1.00,.54
1973-04-22,John Vukovich,MIL,NYY,Sparky Lyle\batter_vs_pitcher.cgi?pitcher=lylesp01&batter=vukovjo01,0.42,2.03,3.77
1973-04-22,Harmon Killebrew,MIN,TEX,Dick Bosman\batter_vs_pitcher.cgi?pitcher=bosmadi01&batter=killeha01,0.13,1.00,.78
1973-04-22,Jeff Burroughs,TEX,@MIN,Bert Blyleven\batter_vs_pitcher.cgi?pitcher=blylebe01&batter=burroje01,0.17,1.00,.67
1973-04-22,Sal Bando,OAK,CAL,Nolan Ryan\batter_vs_pitcher.cgi?pitcher=ryanno01&batter=bandosa01,0.12,1.00,.65
1973-04-22,Bobby Valentine,CAL,@OAK,Catfish Hunter\batter_vs_pitcher.cgi?pitcher=hunteca01&batter=valenbo02,0.12,1.00,.82
1973-04-22,Tommy McCraw,CAL,@OAK,Horacio Pina\batter_vs_pitcher.cgi?pitcher=pinaho01&batter=mccrato01,0.35,1.00,2.80
1973-04-22 (1),Willie Stargell,PIT,@CHC,Milt Pappas\batter_vs_pitcher.cgi?pitcher=pappami01&batter=stargwi01,0.18,1.78,1.12
1973-04-22 (1),Jose Cardenal,CHC,PIT,Dock Ellis\batter_vs_pitcher.cgi?pitcher=ellisdo01&batter=cardejo02,0.12,1.00,.49
1973-04-22 (1),Bob Robertson,PIT,@CHC,Milt Pappas\batter_vs_pitcher.cgi?pitcher=pappami01&batter=roberbo01,0.17,2.61,1.41
1973-04-22 (1),Bob Robertson,PIT,@CHC,Jack Aker\batter_vs_pitcher.cgi?pitcher=akerja01&batter=roberbo01,0.06,1.00,.48
1973-04-22 (1),Willie Stargell,PIT,@CHC,Dave LaRoche\batter_vs_pitcher.cgi?pitcher=larocda01&batter=stargwi01,0.02,2.08,.30
1973-04-22 (1),Rico Petrocelli,BOS,@CLE,Brent Strom\batter_vs_pitcher.cgi?pitcher=strombr01&batter=petrori01,0.17,1.59,1.30
1973-04-22 (1),Oscar Gamble,CLE,BOS,Luis Tiant\batter_vs_pitcher.cgi?pitcher=tiantlu01&batter=gamblos01,0.10,1.00,.97
1973-04-22 (1),Reggie Smith,BOS,@CLE,Brent Strom\batter_vs_pitcher.cgi?pitcher=strombr01&batter=smithre06,0.09,1.00,.48
1973-04-22 (1),Jack Brohamer,CLE,BOS,Luis Tiant\batter_vs_pitcher.cgi?pitcher=tiantlu01&batter=brohaja01,0.10,1.00,1.03
1973-04-22 (1),Carl Yastrzemski,BOS,@CLE,Jerry Johnson\batter_vs_pitcher.cgi?pitcher=johnsje01&batter=yastrca01,0.13,1.78,.96
1973-04-22 (1),Ron Lolich,CLE,BOS,Sonny Siebert\batter_vs_pitcher.cgi?pitcher=siebeso01&batter=lolicro01,0.91,3.34,3.74
1973-04-22 (1),Carlos May,CHW,@KCR,Dick Drago\batter_vs_pitcher.cgi?pitcher=dragodi01&batter=mayca01,0.14,2.08,1.42
1973-04-22 (1),John Mayberry,KCR,CHW,Wilbur Wood\batter_vs_pitcher.cgi?pitcher=woodwi01&batter=maybejo01,0.06,1.00,.58
1973-04-22 (1),Johnny Jeter,CHW,@KCR,Bruce Dal Canton\batter_vs_pitcher.cgi?pitcher=dalcabr01&batter=jeterjo01,0.05,1.00,.26
1973-04-22 (1),Ron Fairly,MON,@NYM,Tom Seaver\batter_vs_pitcher.cgi?pitcher=seaveto01&batter=fairlro01,0.11,1.00,.93
1973-04-22 (2),Ron Santo,CHC,PIT,Steve Blass\batter_vs_pitcher.cgi?pitcher=blassst01&batter=santoro01,0.09,1.32,1.00
1973-04-22 (2),Rick Monday,CHC,PIT,Jim McKee\batter_vs_pitcher.cgi?pitcher=mckeeji02&batter=mondari01,0.01,1.78,.06
1973-04-22 (2),Al Oliver,PIT,@CHC,Larry Gura\batter_vs_pitcher.cgi?pitcher=gurala01&batter=oliveal01,0.00,1.74,.00
1973-04-22 (2),Rennie Stennett,PIT,@CHC,Larry Gura\batter_vs_pitcher.cgi?pitcher=gurala01&batter=stennre01,0.00,1.00,.00
1973-04-22 (2),Charlie Spikes,CLE,BOS,Bob Veale\batter_vs_pitcher.cgi?pitcher=vealebo01&batter=spikech01,0.05,1.00,.67
1973-04-22 (2),Bob Bailey,MON,@NYM,Jim McAndrew\batter_vs_pitcher.cgi?pitcher=mcandji01&batter=bailebo01,0.00,1.88,.00
1973-04-22 (2),Mike Schmidt,PHI,STL,Bob Gibson\batter_vs_pitcher.cgi?pitcher=gibsobo01&batter=schmimi01,0.47,1.00,1.33
1973-04-23,Doug Rader,HOU,SDP,Bill Greif\batter_vs_pitcher.cgi?pitcher=greifbi01&batter=raderdo02,0.19,1.75,1.23
1973-04-23,Pedro Garcia,MIL,NYY,Doc Medich\batter_vs_pitcher.cgi?pitcher=medicdo01&batter=garcipe01,0.04,1.00,.44
1973-04-23,Bob Coluccio,MIL,NYY,Doc Medich\batter_vs_pitcher.cgi?pitcher=medicdo01&batter=colucbo01,0.05,1.00,.43
1973-04-24,Mike Lum,ATL,PHI,Larry Christenson\batter_vs_pitcher.cgi?pitcher=chrisla01&batter=lummi01,0.11,1.00,.71
1973-04-24,Johnny Oates,ATL,PHI,Ken Brett\batter_vs_pitcher.cgi?pitcher=brettke01&batter=oatesjo01,0.01,1.87,.04
1973-04-24,Larry Hisle,MIN,@BOS,Marty Pattin\batter_vs_pitcher.cgi?pitcher=pattima01&batter=hislela01,0.11,1.00,.99
1973-04-24,Frank Robinson,CAL,BAL,Doyle Alexander\batter_vs_pitcher.cgi?pitcher=alexado01&batter=robinfr02,0.20,2.11,1.65
1973-04-24,Ron Santo,CHC,SFG,Jim Willoughby\batter_vs_pitcher.cgi?pitcher=willoji01&batter=santoro01,0.14,1.00,.85
1973-04-24,Ron Santo,CHC,SFG,Randy Moffitt\batter_vs_pitcher.cgi?pitcher=moffira01&batter=santoro01,0.44,1.00,3.45
1973-04-24,John Mayberry,KCR,MIL,Jerry Bell\batter_vs_pitcher.cgi?pitcher=bellje01&batter=maybejo01,0.02,1.00,.13
1973-04-24,Eddie Leon,CHW,@NYY,Fritz Peterson\batter_vs_pitcher.cgi?pitcher=peterfr01&batter=leoned01,0.18,1.60,1.37
1973-04-24,Bill Melton,CHW,@NYY,Fritz Peterson\batter_vs_pitcher.cgi?pitcher=peterfr01&batter=meltobi01,0.13,1.00,1.08
1973-04-24,Carlos May,CHW,@NYY,Fred Beene\batter_vs_pitcher.cgi?pitcher=beenefr01&batter=mayca01,0.03,1.00,.18
1973-04-24,Ted Kubiak,OAK,CLE,Gaylord Perry\batter_vs_pitcher.cgi?pitcher=perryga01&batter=kubiate01,0.05,1.00,.36
1973-04-24,Leron Lee,SDP,@PIT,Bob Moose\batter_vs_pitcher.cgi?pitcher=moosebo01&batter=leele02,0.06,1.00,.41
1973-04-24,Willie Stargell,PIT,SDP,Steve Arlin\batter_vs_pitcher.cgi?pitcher=arlinst01&batter=stargwi01,0.12,1.00,.39
1973-04-24,Mickey Stanley,DET,@TEX,Bill Gogolewski\batter_vs_pitcher.cgi?pitcher=gogolbi01&batter=stanlmi01,0.10,1.00,.90
1973-04-25,Carlton Fisk,BOS,MIN,Bill Hands\batter_vs_pitcher.cgi?pitcher=handsbi01&batter=fiskca01,0.11,1.00,.43
1973-04-25,Chris Speier,SFG,@CHC,Fergie Jenkins\batter_vs_pitcher.cgi?pitcher=jenkife01&batter=speiech01,0.10,1.00,.40
1973-04-25,Dave Kingman,SFG,@CHC,Fergie Jenkins\batter_vs_pitcher.cgi?pitcher=jenkife01&batter=kingmda01,0.10,1.00,.82
1973-04-25,Joe Morgan,CIN,MON,Tom Walker\batter_vs_pitcher.cgi?pitcher=walketo02&batter=morgajo02,0.11,2.69,.91
1973-04-25,Rusty Staub,NYM,@HOU,Don Wilson\batter_vs_pitcher.cgi?pitcher=wilsodo01&batter=staubru01,0.11,1.00,.97
1973-04-25,Rusty Staub,NYM,@HOU,Tom Griffin\batter_vs_pitcher.cgi?pitcher=griffto02&batter=staubru01,0.06,1.00,.43
1973-04-25,Doug Rader,HOU,NYM,Jerry Koosman\batter_vs_pitcher.cgi?pitcher=koosmje01&batter=raderdo02,0.05,1.00,.63
1973-04-25,Bob Coluccio,MIL,@KCR,Wayne Simpson\batter_vs_pitcher.cgi?pitcher=simpswa01&batter=colucbo01,0.07,1.00,.89
1973-04-25,Carlos May,CHW,@NYY,Mel Stottlemyre\batter_vs_pitcher.cgi?pitcher=stottme01&batter=mayca01,0.11,1.00,.61
1973-04-25,Scipio Spinks,STL,LAD,Al Downing\batter_vs_pitcher.cgi?pitcher=downial01&batter=spinksc01,0.16,1.00,.86
1973-04-25,Jeff Burroughs,TEX,DET,Joe Coleman\batter_vs_pitcher.cgi?pitcher=colemjo05&batter=burroje01,0.12,1.00,.99
1973-04-26,Doug Rader,HOU,NYM,Jim McAndrew\batter_vs_pitcher.cgi?pitcher=mcandji01&batter=raderdo02,0.15,1.00,1.17
1973-04-26,Dave May,MIL,@KCR,Bruce Dal Canton\batter_vs_pitcher.cgi?pitcher=dalcabr01&batter=mayda01,0.27,2.69,5.92
1973-04-27,Henry Aaron,ATL,NYM,Tom Seaver\batter_vs_pitcher.cgi?pitcher=seaveto01&batter=aaronha01,0.14,1.00,.52
1973-04-27,Darrell Evans,ATL,NYM,Tom Seaver\batter_vs_pitcher.cgi?pitcher=seaveto01&batter=evansda01,0.11,1.00,.41
1973-04-27,Dave Duncan,CLE,@CAL,Nolan Ryan\batter_vs_pitcher.cgi?pitcher=ryanno01&batter=duncada01,0.12,1.76,.79
1973-04-27,Charlie Spikes,CLE,@CAL,Nolan Ryan\batter_vs_pitcher.cgi?pitcher=ryanno01&batter=spikech01,0.01,1.00,.10
1973-04-27,Ron Lolich,CLE,@CAL,Nolan Ryan\batter_vs_pitcher.cgi?pitcher=ryanno01&batter=lolicro01,0.01,1.00,.05
1973-04-27,Ed Kirkpatrick,KCR,@DET,Jim Perry\batter_vs_pitcher.cgi?pitcher=perryji01&batter=kirkped01,0.14,1.00,1.19
1973-04-27,Amos Otis,KCR,@DET,Jim Perry\batter_vs_pitcher.cgi?pitcher=perryji01&batter=otisam01,0.13,1.00,.69
1973-04-27,Ken Singleton,MON,@HOU,Dave Roberts\batter_vs_pitcher.cgi?pitcher=roberda05&batter=singlke01,0.25,1.60,1.92
1973-04-27,Boog Powell,BAL,@OAK,Blue Moon Odom\batter_vs_pitcher.cgi?pitcher=odombl01&batter=powelbo01,0.21,1.75,1.34
1973-04-27,Joe Rudi,OAK,BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=rudijo01,0.30,1.75,1.83
1973-04-27,Gene Tenace,OAK,BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=tenacge01,0.22,1.00,1.50
1973-04-27,Don Baylor,BAL,@OAK,Blue Moon Odom\batter_vs_pitcher.cgi?pitcher=odombl01&batter=baylodo01,0.27,1.00,1.53
1973-04-27,Angel Mangual,OAK,BAL,Eddie Watt\batter_vs_pitcher.cgi?pitcher=watted01&batter=manguan01,0.37,1.00,2.21
1973-04-28,Davey Johnson,ATL,NYM,Jon Matlack\batter_vs_pitcher.cgi?pitcher=matlajo01&batter=johnsda02,0.23,1.00,1.91
1973-04-28,Rick Monday,CHC,SDP,Fred Norman\batter_vs_pitcher.cgi?pitcher=normafr01&batter=mondari01,0.10,1.00,.87
1973-04-28,Doug Rader,HOU,MON,Steve Renko\batter_vs_pitcher.cgi?pitcher=renkost01&batter=raderdo02,0.07,1.00,.34
1973-04-28,Jim Wynn,HOU,MON,Steve Renko\batter_vs_pitcher.cgi?pitcher=renkost01&batter=wynnji01,0.53,2.62,3.99
1973-04-28,Bobby Murcer,NYY,MIN,Jim Kaat\batter_vs_pitcher.cgi?pitcher=kaatji01&batter=murcebo01,0.19,1.79,1.16
1973-04-28,Matty Alou,NYY,MIN,Jim Kaat\batter_vs_pitcher.cgi?pitcher=kaatji01&batter=alouma01,0.12,1.75,.78
1973-04-28,Graig Nettles,NYY,MIN,Joe Decker\batter_vs_pitcher.cgi?pitcher=deckejo01&batter=nettlgr01,0.05,1.75,.35
1973-04-28,Steve Braun,MIN,@NYY,Doc Medich\batter_vs_pitcher.cgi?pitcher=medicdo01&batter=braunst01,0.02,1.00,.12
1973-04-28,Bobby Murcer,NYY,MIN,Joe Decker\batter_vs_pitcher.cgi?pitcher=deckejo01&batter=murcebo01,0.02,1.75,.13
1973-04-28,Bobby Grich,BAL,@OAK,Ken Holtzman\batter_vs_pitcher.cgi?pitcher=holtzke01&batter=grichbo01,0.13,1.00,.45
1973-04-28,Bobby Bonds,SFG,@STL,Reggie Cleveland\batter_vs_pitcher.cgi?pitcher=clevere01&batter=bondsbo01,0.10,1.00,.87
1973-04-28,Elliott Maddox,TEX,MIL,Jerry Bell\batter_vs_pitcher.cgi?pitcher=bellje01&batter=maddoel01,0.15,2.68,.86
1973-04-29,Bill Melton,CHW,@BOS,Marty Pattin\batter_vs_pitcher.cgi?pitcher=pattima01&batter=meltobi01,0.17,1.74,1.14
1973-04-29,Ed Herrmann,CHW,@BOS,Marty Pattin\batter_vs_pitcher.cgi?pitcher=pattima01&batter=herrmed01,0.06,1.00,.51
1973-04-29,Dick Allen,CHW,@BOS,Marty Pattin\batter_vs_pitcher.cgi?pitcher=pattima01&batter=allendi01,0.04,1.00,.23
1973-04-29,Charlie Spikes,CLE,@CAL,Clyde Wright\batter_vs_pitcher.cgi?pitcher=wrighcl01&batter=spikech01,0.27,1.00,1.51
1973-04-29,George Hendrick,CLE,@CAL,Clyde Wright\batter_vs_pitcher.cgi?pitcher=wrighcl01&batter=hendrge01,0.35,1.00,2.22
1973-04-29,Cito Gaston,SDP,@CHC,Fergie Jenkins\batter_vs_pitcher.cgi?pitcher=jenkife01&batter=gastoci01,0.11,1.00,.97
1973-04-29,Dave Hilton,SDP,@CHC,Fergie Jenkins\batter_vs_pitcher.cgi?pitcher=jenkife01&batter=hiltoda01,0.11,1.00,1.13
1973-04-29,Duke Sims,DET,KCR,Tom Burgmeier\batter_vs_pitcher.cgi?pitcher=burgmto01&batter=simsdu01,0.02,1.61,.12
1973-04-29,Bob Watson,HOU,MON,Mike Torrez\batter_vs_pitcher.cgi?pitcher=torremi01&batter=watsobo01,0.11,1.00,.92
1973-04-29,Bob Watson,HOU,MON,Mike Torrez\batter_vs_pitcher.cgi?pitcher=torremi01&batter=watsobo01,0.12,1.00,.39
1973-04-29,Hal Breeden,MON,@HOU,Don Wilson\batter_vs_pitcher.cgi?pitcher=wilsodo01&batter=breedha01,0.29,1.79,1.47
1973-04-29,Ken Singleton,MON,@HOU,Don Wilson\batter_vs_pitcher.cgi?pitcher=wilsodo01&batter=singlke01,0.30,1.00,.95
1973-04-29,Reggie Jackson,OAK,BAL,Dave McNally\batter_vs_pitcher.cgi?pitcher=mcnalda01&batter=jacksre01,0.22,2.38,1.97
1973-04-29,Sal Bando,OAK,BAL,Dave McNally\batter_vs_pitcher.cgi?pitcher=mcnalda01&batter=bandosa01,0.05,1.00,.27
1973-04-29,Bobby Grich,BAL,@OAK,Catfish Hunter\batter_vs_pitcher.cgi?pitcher=hunteca01&batter=grichbo01,0.01,1.00,.05
1973-04-29 (1),Graig Nettles,NYY,MIN,Bert Blyleven\batter_vs_pitcher.cgi?pitcher=blylebe01&batter=nettlgr01,0.11,1.00,.92
1973-04-29 (1),Richie Hebner,PIT,LAD,Andy Messersmith\batter_vs_pitcher.cgi?pitcher=messean01&batter=hebneri01,0.19,1.63,1.72
1973-04-29 (1),Joe Ferguson,LAD,@PIT,Steve Blass\batter_vs_pitcher.cgi?pitcher=blassst01&batter=fergujo01,0.14,1.00,.80
1973-04-29 (1),Willie Stargell,PIT,LAD,Doug Rau\batter_vs_pitcher.cgi?pitcher=raudo01&batter=stargwi01,0.49,1.00,1.68
1973-05-01,Henry Aaron,ATL,MON,Balor Moore\batter_vs_pitcher.cgi?pitcher=mooreba02&batter=aaronha01,0.21,1.78,1.27
1973-05-01,Darrell Evans,ATL,MON,Balor Moore\batter_vs_pitcher.cgi?pitcher=mooreba02&batter=evansda01,0.34,2.01,3.24
1973-05-01,Mike Jorgensen,MON,@ATL,Phil Niekro\batter_vs_pitcher.cgi?pitcher=niekrph01&batter=jorgemi01,0.40,1.87,1.61
1973-05-01,Henry Aaron,ATL,MON,John Strohmayer\batter_vs_pitcher.cgi?pitcher=strohjo01&batter=aaronha01,0.23,1.00,1.91
1973-05-01,Jeff Burroughs,TEX,@BOS,Bill Lee\batter_vs_pitcher.cgi?pitcher=leebi03&batter=burroje01,0.08,1.00,.93
1973-05-01,Dick Allen,CHW,BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=allendi01,0.10,1.00,.40
1973-05-01,Brooks Robinson,BAL,@CHW,Eddie Fisher\batter_vs_pitcher.cgi?pitcher=fisheed02&batter=robinbr01,0.11,1.00,.42
1973-05-01,Dick Allen,CHW,BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=allendi01,0.13,1.00,1.07
1973-05-01,Ed Herrmann,CHW,BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=herrmed01,0.18,1.87,.79
1973-05-01,Frank Robinson,CAL,@DET,Woodie Fryman\batter_vs_pitcher.cgi?pitcher=frymawo01&batter=robinfr02,0.10,1.00,.93
1973-05-01,Billy Grabarkewitz,CAL,@DET,Woodie Fryman\batter_vs_pitcher.cgi?pitcher=frymawo01&batter=grababi01,0.10,1.00,.87
1973-05-01,Billy Williams,CHC,@LAD,Doug Rau\batter_vs_pitcher.cgi?pitcher=raudo01&batter=willibi01,0.05,1.63,.49
1973-05-01,Ron Santo,CHC,@LAD,Doug Rau\batter_vs_pitcher.cgi?pitcher=raudo01&batter=santoro01,0.02,1.00,.11
1973-05-01,Jose Cardenal,CHC,@LAD,Doug Rau\batter_vs_pitcher.cgi?pitcher=raudo01&batter=cardejo02,0.01,1.00,.07
1973-05-01,Tom Paciorek,LAD,CHC,Burt Hooton\batter_vs_pitcher.cgi?pitcher=hootobu01&batter=pacioto01,0.00,1.00,.01
1973-05-01,Bill Buckner,LAD,CHC,Burt Hooton\batter_vs_pitcher.cgi?pitcher=hootobu01&batter=bucknbi01,0.00,1.00,.02
